"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:3mPZgxRZnEerEhEsE1OKGy","Gotta Be","spotify:artist:753xxcDfgqoyWJTs55HCal","Isenberg","spotify:album:6N0o5ahE5wkDzdnuz07prB","Gotta Be","spotify:artist:753xxcDfgqoyWJTs55HCal","Isenberg","2021-02-02","https://i.scdn.co/image/ab67616d0000b273d7d67f0764bf0278da85b7e6","1","1","154218","https://p.scdn.co/mp3-preview/86e35d094a1beecf8b8b2d5cbc009cff599095e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","CA5KR2130384","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1O1mCVN5hue4lOOqd5EysZ","Living For The City","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","spotify:album:1vQrNEAdt2eHCXAvdIs1M2","The Definitive Collection (Deluxe Edition)","spotify:artist:7guDJrEfX3qb6FEbdPA5qi","Stevie Wonder","2002-10-29","https://i.scdn.co/image/ab67616d0000b273835ed5fb9b70f46c3177ffde","1","18","219306","https://p.scdn.co/mp3-preview/3df836340a5768e7ec57b76563cb22eae0e26359?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","USMO10000390","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:6qsZa3Kc7yUtsQ80PupGPd","Florida Thang","spotify:artist:4nXOZlYoAD67hF9aUEncMY","Pouya","spotify:album:0HSgoXbu9ZA3S5wMBsLFsh","SUPERMAN IS DEAD","spotify:artist:4nXOZlYoAD67hF9aUEncMY","Pouya","2019-01-18","https://i.scdn.co/image/ab67616d0000b2736e794cbab51d3b77fe75df4f","1","2","165818","https://p.scdn.co/mp3-preview/a9d66c6a530783d8755f87eff2e3fe7fdbacf38b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","TCADY1862315","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0jNTJSaktLVy8iAi7KY2zB","Too Hot","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","spotify:album:0zK7P6PLhBU02U9Tc98VSK","Ladies' Night","spotify:artist:3VNITwohbvU5Wuy5PC6dsI","Kool & The Gang","1979-05-13","https://i.scdn.co/image/ab67616d0000b27369c9183efed4fe011115f737","1","6","295160","https://p.scdn.co/mp3-preview/fdcedb971c08f23af5b1cc9a2e13644aff70e885?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","USPR37900046","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:44FC7RK63XLvmPwBDjZOit","All It Takes - Kai Alcé Distinctive Vocal","spotify:artist:2Uy7rPXDCqkd90ksG3sgt0, spotify:artist:0adNleAt3fifQiP12TGZBJ, spotify:artist:28okccoDb505PNOF3LeMTi","Sir LSG, ZANO, Kai Alce","spotify:album:51OTLBqyBalPVqfz0VEUBP","All It Takes","spotify:artist:2Uy7rPXDCqkd90ksG3sgt0","Sir LSG","2017-10-20","https://i.scdn.co/image/ab67616d0000b273667b8e21d7443d1fa31f2916","1","3","440000","https://p.scdn.co/mp3-preview/e2d6d95c54cfc127bcf0d6e4fa07a7116fe773de?cid=9950ac751e34487dbbe027c4fd7f8e99","false","10","DEY161707204","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7Mki1U7Yqvr8W1BuWwrjip","Kushmas","spotify:artist:1ybINI1qPiFbwDXamRtwxD","Smino","spotify:album:7BlYL8OhqdHcZTIoISOeEg","High 4 Da Highladays","spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:4p75GTNEXwsAAkpweMVtKo, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig","Smino, monte booker, Masego","2019-12-23","https://i.scdn.co/image/ab67616d0000b27382168172470936a42ba1a6c8","1","2","235277","https://p.scdn.co/mp3-preview/6a5d0202fab78c511d67ac846d60293f22b27826?cid=9950ac751e34487dbbe027c4fd7f8e99","true","30","USUG11904421","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:2huH9q26JmfR0BzV4xKzny","Achoo","spotify:artist:6f9bmfkqiYbhCtdAZsv7KI, spotify:artist:2rhFzFmezpnW82MNqEKVry","Keith Ape, Ski Mask The Slump God","spotify:album:7A1YvHtwUCd4EjhJBd3zTo","Achoo","spotify:artist:6f9bmfkqiYbhCtdAZsv7KI, spotify:artist:2rhFzFmezpnW82MNqEKVry","Keith Ape, Ski Mask The Slump God","2017-10-03","https://i.scdn.co/image/ab67616d0000b27385f8880d439f903de0e74761","1","1","244000","https://p.scdn.co/mp3-preview/1021054092ce585c97bc5df1e6698563a50b4abf?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","USUYG1161575","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0GH0acI4Gh0hRwCvNu48zG","The Realest (feat. Kool G Rap)","spotify:artist:6O2zJ0tId7g07yzHtX0yap, spotify:artist:099tLNCZZvtjC7myKD0mFp","Mobb Deep, Kool G Rap","spotify:album:25NNQGZBd9oLAO1xTeq5oQ","Murda Muzik","spotify:artist:6O2zJ0tId7g07yzHtX0yap","Mobb Deep","1999-08-17","https://i.scdn.co/image/ab67616d0000b27331dd36c756f1bb3af4d3e35a","1","16","259560","https://p.scdn.co/mp3-preview/d279e7ca32bf1b1ad71b5c46d6b58fe061e5b161?cid=9950ac751e34487dbbe027c4fd7f8e99","true","45","USLR59900039","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1XjFyPzU5z3zbYJQETYGiZ","Balança Pema","spotify:artist:5JYtpnUKxAzXfHEYpOeeit","Jorge Ben Jor","spotify:album:3xWp6y0HGsHZlXljNs7VRy","Samba Esquema Novo","spotify:artist:5JYtpnUKxAzXfHEYpOeeit","Jorge Ben Jor","1963-01-01","https://i.scdn.co/image/ab67616d0000b2732daa87c238a78a680511da3c","1","3","86760","https://p.scdn.co/mp3-preview/aeb8f6b884b812e32ee22d9fc2381508b5434741?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","BRMCA6300085","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:4K0odcECsBvgzv9Lr9z4kd","Aria Math","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","spotify:album:7CYDRyFCKtAYJBSpfovLyX","Minecraft - Volume Beta","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","2013-11-09","https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64","1","13","310000","https://p.scdn.co/mp3-preview/67504d4e130019d55c6c241addbde68dfd3d388a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","TCABR1368237","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1Js100V6IIhi9pnIx0QS0M","Breakfast in Bed","spotify:artist:4d53BMrRlQkrQMz5d59f2O","Mayer Hawthorne","spotify:album:5MBHKaOoI0GPDg9moUCZor","Man About Town","spotify:artist:4d53BMrRlQkrQMz5d59f2O","Mayer Hawthorne","2016-02-19","https://i.scdn.co/image/ab67616d0000b27371bf98334c981b940838111e","1","4","240640","https://p.scdn.co/mp3-preview/b7a4e60060a469faf645cdfc0c54e35fa29f8faf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","QMRSZ1501473","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:4wajJ1o7jWIg62YqpkHC7S","Weird Fishes / Arpeggi","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","spotify:album:5vkqYmiPBYLaalcmjujWxK","In Rainbows","spotify:artist:4Z8W4fKeB5YxbusRsdQVPb","Radiohead","2007-12-28","https://i.scdn.co/image/ab67616d0000b273de3c04b5fc750b68899b20a9","1","4","318186","https://p.scdn.co/mp3-preview/84d22bb712ca5a5cc6d7f82ef097977e6b6d63e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","80","GBSTK0700004","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7M7AwtGvWdMYudqx5Iuh1m","Althea - 2013 Remaster","spotify:artist:4TMHGUX5WI7OOm53PqSDAT","Grateful Dead","spotify:album:6x3mttp1a5pLHj8rDDSEbT","Go to Heaven","spotify:artist:4TMHGUX5WI7OOm53PqSDAT","Grateful Dead","1980","https://i.scdn.co/image/ab67616d0000b273dd5ce8d59ef803b79aa3740e","1","3","412595","https://p.scdn.co/mp3-preview/a78cbede8584dcf02018a0864ff8b275f9b4422e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","USRH11301598","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0xQlC8tI2hBeOs2TKOkM1G","Hung Up On My Baby","spotify:artist:3IKV7o6WPphDB7cCWXaG3E","Isaac Hayes","spotify:album:36GyMi2hQBUu09GS2ebpJQ","Legenden des Soul - Isaac Hayes","spotify:artist:3IKV7o6WPphDB7cCWXaG3E","Isaac Hayes","2014-01-01","https://i.scdn.co/image/ab67616d0000b273b8f05c2f5a36392f3dcb2f86","1","14","377466","https://p.scdn.co/mp3-preview/627f55dd8c7ae477b62eba0d15461d657ba6897e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","USFI87400005","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1Ic9pKxGSJGM0LKeqf6lGe","All Apologies","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","spotify:album:7wOOA7l306K8HfBKfPoafr","In Utero","spotify:artist:6olE6TJLqED3rqDCT0FyPh","Nirvana","1993-09-21","https://i.scdn.co/image/ab67616d0000b273c4f52ef8782f0e8ede4c1aaf","1","12","233173","https://p.scdn.co/mp3-preview/82994a03fd672aa2a4bd18d6fddf14e5756258ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","78","USGF19960712","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:6EE7h3mzfnmR3BWAgWQE22","wanna be tied","spotify:artist:2ZYQtEyNSrjabXC4RkS4o5","SALON MUSIC","spotify:album:1VoTR4mU7BvdiZxJdF8mPc","MASH","spotify:artist:2ZYQtEyNSrjabXC4RkS4o5","SALON MUSIC","1995-04-26","https://i.scdn.co/image/ab67616d0000b2734d655e37375109efa473babe","1","3","326893","https://p.scdn.co/mp3-preview/8a1b477f8241e2ef4bb595a957a3d3b9bcffd790?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","JPPS09501240","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:4NVyCPbCkbmMEESIErpRXq","3Hunna","spotify:artist:15iVAtD3s3FsQR4w1v6M0P, spotify:artist:1sBkRIssrMs1AbVkOJbc7a","Chief Keef, Rick Ross","spotify:album:2B4y3j02ho6XNF8BEzx3JF","Finally Rich","spotify:artist:15iVAtD3s3FsQR4w1v6M0P","Chief Keef","2012-01-01","https://i.scdn.co/image/ab67616d0000b273a76616abf60ce17491e95891","1","11","208706","https://p.scdn.co/mp3-preview/1e75140c879f518772f50cdad445ea1a3793d947?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","USUM71214706","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:3F729cYjXeMfeQ7FDvdADY","Folsom Prison Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","spotify:album:6wZ6UMWSAmDOCZ4ErWlqPa","At Folsom Prison (Legacy Edition)","spotify:artist:6kACVPfCOnqzgfEF5ryl0x","Johnny Cash","1968-05-02","https://i.scdn.co/image/ab67616d0000b27328f63ae94605af77cbf7b307","1","5","156426","https://p.scdn.co/mp3-preview/02776dfec7e7234b7739c26b6c6d0b2019bf54c2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","USSM10802940","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1TKTiKp3zbNgrBH2IwSwIx","Us and Them","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","spotify:album:4LH4d3cOWNNsVw41Gqt2kv","The Dark Side of the Moon","spotify:artist:0k17h0D3J5VfsdmQ1iZtE9","Pink Floyd","1973-03-01","https://i.scdn.co/image/ab67616d0000b273ea7caaff71dea1051d49b2fe","1","7","469224","https://p.scdn.co/mp3-preview/2f7fbb26efa0addb66a81b2cbf9442e818c79c75?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","GBN9Y1100082","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0lEikZP9JffOW4sufCKtQO","Dreiton","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","spotify:album:7CYDRyFCKtAYJBSpfovLyX","Minecraft - Volume Beta","spotify:artist:4uFZsG1vXrPcvnZ4iSQyrx","C418","2013-11-09","https://i.scdn.co/image/ab67616d0000b2734cf0b29eb06a92aa96acae64","1","18","497000","https://p.scdn.co/mp3-preview/62d037a3d00bf432dc5f2d58a08841f0e9420ff3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","60","TCABR1368243","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7feSbMqJGg9yL0s6ypxy9S","Girls on Film","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","Duran Duran","spotify:album:4P6rgSkSEXFGrpTk9NZUAj","Decade","spotify:artist:0lZoBs4Pzo7R89JM9lxwoT","Duran Duran","1989-11-20","https://i.scdn.co/image/ab67616d0000b2735c8f2a04c85c677bfe2b1639","1","2","207786","https://p.scdn.co/mp3-preview/8e72ec72b7e867ef832c5a7e5b925b51f162b213?cid=9950ac751e34487dbbe027c4fd7f8e99","false","59","GBAYE8100039","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:2x7MyWybabEz6Y6wvHuwGE","Just Dance","spotify:artist:1HY2Jd0NmPuamShAr6KMms, spotify:artist:7fObcBw9VM3x7ntWKCYl0z","Lady Gaga, Colby O'Donis","spotify:album:1jpUMnKpRlng1OJN7LJauV","The Fame","spotify:artist:1HY2Jd0NmPuamShAr6KMms","Lady Gaga","2008-01-01","https://i.scdn.co/image/ab67616d0000b273613aaa3ae566d9f36008aed0","1","1","241933","https://p.scdn.co/mp3-preview/95cc6f61db841d49e062c94e68a62a89da0c46c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","82","USUM70807646","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:5z4ljpMLi1LTF8UG9P53fH","Dreamer","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","spotify:album:2wrHaulTgqqkVKx0k7Kq4r","Crime Of The Century (Remastered)","spotify:artist:3JsMj0DEzyWc0VDlHuy9Bx","Supertramp","1974-09-01","https://i.scdn.co/image/ab67616d0000b27389d7032603b62e9aedb03fa2","1","5","213236","https://p.scdn.co/mp3-preview/ba5c05285b69aa46b254328f4ce065969b0730bc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USUM71022331","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:5KUNwkaNf8l5A9sXZhiCgI","Rapp Snitch Knishes","spotify:artist:2pAWfrd7WFF3XhVt9GooDL, spotify:artist:7hpzx6fecRavN1B1YMxpOb","MF DOOM, Mr. Fantastik","spotify:album:1UcS2nqUhxrZjrBZ3tHk2N","MM..FOOD","spotify:artist:2pAWfrd7WFF3XhVt9GooDL","MF DOOM","2004-11-16","https://i.scdn.co/image/ab67616d0000b27352f194d02c39909d1b284799","1","13","172893","https://p.scdn.co/mp3-preview/c95692c16a296cde37cd35d8a44503e691174511?cid=9950ac751e34487dbbe027c4fd7f8e99","true","77","USBWK0700049","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0IBdQ61edwccAPe0Tzv2Zb","Fluff - 2013 Remaster","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","spotify:album:1qQ2ig3pvig30zVyXLzij8","Sabbath Bloody Sabbath (2014 Remaster)","spotify:artist:5M52tdBnJaKSvOpJGz8mfZ","Black Sabbath","1973-12-01","https://i.scdn.co/image/ab67616d0000b27347e9e769c9f540dd0464ba32","1","3","248967","https://p.scdn.co/mp3-preview/e0b7a96abc2970ef06bde7462d2b737270d0fd28?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","USWB11304637","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:43pi7324cH0JRBaxesiDvt","Den Xero Poso S' Agapo - Live","spotify:artist:4u5yrM5jlC3iviSQQXcMCK, spotify:artist:4cgCxnsmy9kDcl3oA2BYRY, spotify:artist:3nV0kq59WJOJRLNWpFR1m6, spotify:artist:4wfucl2s2farNOAmxZAVTC, spotify:artist:77Guu62HL3rXrjqYJKhyVT, spotify:artist:0GBKwLQdkZ6tml0ssOSQ4f, spotify:artist:3Gk7fuRSYuQWqXGhRGPsG4, spotify:artist:2M0MfjN3wqrrvKHXohxTfw, spotify:artist:0jctFutxWwbuucO1HRhNgk, spotify:artist:0q6umZk2e14mheMLEQLFCJ","Marinella, Haris Alexiou, Dimitra Galani, Eleftheria Arvanitaki, Melina Kana, Glykeria, Eleni Tsaligopoulou, Tania Tsanaklidou, Andriana Babali, Melina Aslanidou","spotify:album:3aKaJ9Wg2J6VWy9QdYmNjX","Den Xero Poso S' Agapo (Live)","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2006-04-14","https://i.scdn.co/image/ab67616d0000b2733f01299a7e4cd14023be8315","1","2","168346","https://p.scdn.co/mp3-preview/376d62e79d0d70286721d5c0712cd49a27eca344?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","GRE010600460","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:60ZppukPfY43NDU9meKJrz","BAD NEWS","spotify:artist:3hOdow4ZPmrby7Q1wfPLEy","Aries","spotify:album:2NDlOOZNBvq6B26feV4gJc","WELCOME HOME","spotify:artist:3hOdow4ZPmrby7Q1wfPLEy","Aries","2019-04-18","https://i.scdn.co/image/ab67616d0000b2735d084c9ce80631cbce8d84c2","1","1","164154","https://p.scdn.co/mp3-preview/c33f977e6ee5992306a84e5ae0f2794f3621d57b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZES61933055","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7qU7vhCPKhkDiJYGoboISc","Apocalypse Dreams","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","spotify:album:3C2MFZ2iHotUQOSBzdSvM7","Lonerism","spotify:artist:5INjqkS1o8h1imAzPqGZBb","Tame Impala","2012-01-01","https://i.scdn.co/image/ab67616d0000b273370c12f82872c9cfaee80193","1","3","356946","https://p.scdn.co/mp3-preview/205dd634202470f05046b8b5687d2e489c24efd1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","AUUM71200489","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:2VXjgueoSOIxAEswR3uRsp","Awaiting On You All - Remastered 2014","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","spotify:album:4I4xtHaIFOzhZfp1NIHkY6","All Things Must Pass (Remastered 2014)","spotify:artist:7FIoB5PHdrMZVC3q2HE5MS","George Harrison","1970-11-27","https://i.scdn.co/image/ab67616d0000b273acc11d868a59008935e72299","2","4","168053","https://p.scdn.co/mp3-preview/675bf908a811575c4a447fda04b05214deffd1e0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","GB77R1400042","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:4jByWjGKnLvbd2YZTOcHep","Note to Self","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","spotify:album:3177kbTL2CQMUeIojn2SdK","Timeline","spotify:artist:5J81VungUjSVHxlPpTI9KG","Mild High Club","2015-09-18","https://i.scdn.co/image/ab67616d0000b2735c54eca4b1b941dd3524b318","1","3","140000","https://p.scdn.co/mp3-preview/a96a5cfcc20e4084b2c79af7ca9fb88395e2a5c7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","51","US2S71504003","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1X3NcRSoaZbv8GrOKvSDX8","Peace","spotify:artist:1LjzXQD5Jlo1RfRKIqfZyg","Black & Blues","spotify:album:3Iny1eqJMoqU1I1UoUbVQl","Pieces of a Man","spotify:artist:0kEfub5RzlZOB2zGomqVSU","Gil Scott-Heron","1971-01-01","https://i.scdn.co/image/ab67616d0000b273c930e4ed835b0fd546c7324f","1","13","368986","https://p.scdn.co/mp3-preview/bf3ed7e916f09b06f3a6e72a8e1aad15b7876ff7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","GB03A1400033","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:4zEvxRDaKDoFlHxK7Hy0wg","Sunday","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","spotify:album:0AP5O47kJWlaKVnnybKvQI","Everybody Else Is Doing It, So Why Can't We?","spotify:artist:7t0rwkOPGlDPEhaOcVtOt9","The Cranberries","1993-03-01","https://i.scdn.co/image/ab67616d0000b273f6325f361d7803ad0d908451","1","3","211066","https://p.scdn.co/mp3-preview/b302ee2205f75a953f6c62c1de4c8b5ebd160cbc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","USIR29300081","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7si3FzQV7xcFvmdDQ57ZVt","Ain't Doin That","spotify:artist:699OTQXzgjhIYAHMy9RyPD, spotify:artist:23DYJsw4uSCguIqiTIDtcN","Playboi Carti, Southside","spotify:album:7w2kc9SJxQlMXORfY2mrpM","Trap Ye Season 2","spotify:artist:23DYJsw4uSCguIqiTIDtcN","Southside","2018-02-07","https://i.scdn.co/image/ab67616d0000b273d00c731585c4cf44838308e4","1","3","172500","https://p.scdn.co/mp3-preview/8a98ae97bf599a2c4d43915535ff204d62770a91?cid=9950ac751e34487dbbe027c4fd7f8e99","true","64","TCADM1845359","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:2wo8xxzFHcB7WorvcIBkfD","Mary's Theme","spotify:artist:32GAlFg8ZU34WZLFjAUAGQ","Stelvio Cipriani","spotify:album:7IxHAfOEAOTHn8630AcsL8","Femina Ridens (Original Motion Picture Soundtrack)","spotify:artist:32GAlFg8ZU34WZLFjAUAGQ","Stelvio Cipriani","1969","https://i.scdn.co/image/ab67616d0000b273c1e3d3c3c0230977a2eb5c3d","1","8","130560","https://p.scdn.co/mp3-preview/73032c1c54ad24097154bf5b9b75fd5f15125b63?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","ITC000702283","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:7l6hvTRyX52kg6q4zNIfQA","The Ballad","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","spotify:album:0gIZSG9WUDO3TK0B5y7UtU","The Ballad of Darren","spotify:artist:7MhMgCo0Bl0Kukl93PZbYS","Blur","2023-07-21","https://i.scdn.co/image/ab67616d0000b273fc24d1ba493032a046ffd68a","1","1","216599","https://p.scdn.co/mp3-preview/6cd9390a13c3a095900d30cc7a5b581283e5f4fa?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","GBAYE2300866","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:6WO2tX3R2aF6bomEowLqfQ","Oro Falso","spotify:artist:01p7Homi0d4XxZ06f2NYYD, spotify:artist:4IyPs1rPOAQOnXeqUTjty4","La Sonora Matancera, Bienvenido Granda","spotify:album:5OvQRqKSl9pJnXmaFH1aV9","Años Dorados Cubanos","spotify:artist:01p7Homi0d4XxZ06f2NYYD, spotify:artist:4IyPs1rPOAQOnXeqUTjty4","La Sonora Matancera, Bienvenido Granda","1957-08-01","https://i.scdn.co/image/ab67616d0000b2731a5f47d42a022f3333d7adcf","1","8","168866","https://p.scdn.co/mp3-preview/a3834d217858ae5991558d580092b177373631d1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","QZKVY2000130","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:0qLt7pQhm8LDxFgI0YXdlY","Heavenly Father","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6JF49ixyHmOgS0Rsda2k42","Cilvia Demo","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","2014-01-28","https://i.scdn.co/image/ab67616d0000b273986cd6b330f7405b17a604f4","1","11","260632","https://p.scdn.co/mp3-preview/f70d43d2290cad9b14c808d5fc356527baeeee74?cid=9950ac751e34487dbbe027c4fd7f8e99","true","63","TCABT1443732","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:5vaBrNtOzDvcHmcpv52A3x","Bleeding Heart","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","spotify:album:6kvCH4eS92QkpBNdTmjLEz","Blues","spotify:artist:776Uo845nYHJpNaStv1Ds4","Jimi Hendrix","1994-04-18","https://i.scdn.co/image/ab67616d0000b2731e3d153c8ecda03a495ca811","1","8","206866","https://p.scdn.co/mp3-preview/2f322b47d13082c92f89aba5dcf9ebc8ec361be9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","USQX90900903","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:73lYI49LhfsscO33ohrGN0","Legalize It","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","spotify:album:4ESdQfdgBr9yaYraKU0Vle","Legalize It (Legacy Edition)","spotify:artist:0oea1hwGMfUxZbLxJc1XUN","Peter Tosh","1976","https://i.scdn.co/image/ab67616d0000b273995588ad272e39bfc75016a3","1","1","279360","https://p.scdn.co/mp3-preview/d101bda3cd9aab99595f608233c2fb7952247e40?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","USSM17600556","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
"spotify:track:1qVPIzRyrImMAg3NIS8c8P","Roots Train","spotify:artist:17dXLKGh9AKpooAvGaVt34","Junior Murvin","spotify:album:6k54vGxQY5Gita60TQYCtR","Police & Thieves","spotify:artist:17dXLKGh9AKpooAvGaVt34","Junior Murvin","1977-01-01","https://i.scdn.co/image/ab67616d0000b273e0e495b60dbf0b503311fd3c","1","1","223024","https://p.scdn.co/mp3-preview/65d60a1ec2936a209f7d4dd5ccfdf36c6e7d04a2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","USIR20000002","spotify:user:22sdp7hcqje57feigouwzjgyq","2024-02-23T23:37:05Z"
